***************************
* A  Z          MASS       
175 76# -40024.0    302.0  
175 77# -33447.0    351.0  
175 78# -25825.0    311.0  
175 79# -17054.0    133.0  
175 80#  -8159.0    318.0  
176 69# -49617.0    200.0  
176 70  -53496.934    2.937
176 71  -53390.757    2.617
176 72  -54582.439    2.856
176 73  -51472.439  100.041
176 74# -50683.0    196.0  
176 75# -45112.0    196.0  
176 76# -41948.0    196.0  
176 77# -33986.0    305.0  
176 78# -28876.0    196.0  
176 79# -18379.0    401.0  
176 80  -11798.518   34.912
176 81#    638.0    478.0  
177 69# -47804.0    298.0  
177 70  -50992.411    3.172
177 71  -52391.659    2.599
177 72  -52889.879    2.547
177 73  -51723.879    3.936
177 74# -49723.0    298.0  
177 75# -46323.0    196.0  
177 76# -41850.0    279.0  
177 77# -36170.0    448.0  
177 78# -29386.0    311.0  
177 79# -21229.0    228.0  
177 80  -12724.844  122.988
177 81#  -2904.0    225.0  
178 70  -49701.109   10.422
178 71  -50345.743    3.209
178 72  -52444.878    2.540
178 73  -50532.878  100.531
178 74  -50441.578  100.551
178 75  -45781.578  206.181
178 76  -43446.848  202.695
178 77# -36250.0    362.0  
178 78# -31942.0    470.0  
178 79# -22379.0    401.0  
178 80  -16320.917   14.849
178 81#  -4444.0    212.0  
178 82#   3448.0    207.0  
179 70# -46714.0    298.0  
179 71  -49067.272    5.644
179 72  -50472.587    2.540
179 73  -50362.160    5.587
179 74  -49302.539   15.730
179 75  -46592.539   52.416
179 76# -42914.0    239.0  
179 77# -38052.0    404.0  
179 78# -32318.0    298.0  
179 79# -24941.0    351.0  
179 80# -16969.0    311.0  
179 81#  -7769.0    174.0  
179 82#   2036.0    334.0  
180 71  -46686.491   70.757
180 72  -49789.491    2.557
180 73  -48935.540    3.169
180 74  -49643.465    4.735
180 75  -45841.157   33.617
180 76# -44375.0    179.0  
180 77# -37958.0    298.0  
180 78# -34266.0    196.0  
180 79# -25713.0    302.0  
180 80# -20193.0    196.0  
180 81#  -9135.0    448.0  
180 82#  -1924.0     61.0  
181 71# -44926.0    298.0  
181 72  -47413.845    2.624
181 73  -48441.203    2.904
181 74  -48253.335    5.311
181 75  -46514.754   14.278
181 76# -43585.0    224.0  
181 77# -39516.0    238.0  
181 78# -34292.0    275.0  
181 79# -27993.0    448.0  
181 80# -20674.0    311.0  
181 81# -12204.0    377.0  
181 82   -2925.633  132.763
182 72  -46059.666    6.522
182 73  -46432.839    2.906
182 74  -48246.436    2.864
182 75  -45446.436  102.021
182 76  -44538.436   25.164
182 77  -38929.000  144.204
182 78  -36079.325  201.979
182 79# -28299.0    362.0  
182 80# -23519.0    470.0  
182 81# -13404.0    401.0  
182 82   -6819.888   17.113
183 72  -43285.696   30.141
183 73  -45295.696    2.913
183 74  -46365.819    2.755
183 75  -45809.819    8.461
183 76# -43678.0    102.0  
183 77# -40228.0    143.0  
183 78# -35650.0    233.0  
183 79# -30161.0    401.0  
183 80# -23854.0    298.0  
183 81# -16208.0    401.0  
183 82#  -7517.0    307.0  
184 72  -41500.235   39.794
184 73  -42840.235   26.146
184 74  -45706.235    2.757
184 75  -44223.507    5.262
184 76  -44254.754    2.975
184 77  -39692.754  270.016
184 78# -37360.0    178.0  
184 79# -30233.0    302.0  
184 80# -26179.0    196.0  
184 81# -16990.0    298.0  
184 82# -10993.0    196.0  
185 73  -41396.650   14.410
185 74  -43388.650    2.765
185 75  -43821.665    2.805
185 76  -42808.875    2.840
185 77# -40436.0    196.0  
185 78# -36618.0    230.0  
185 79# -31911.0    233.0  
185 80# -26089.0    275.0  
185 81# -19468.0    401.0  
185 82# -11569.0    307.0  
185 83#  -1779.0    427.0  
186 73  -38610.601   60.071
186 74  -42511.601    2.910
186 75  -41930.012    2.844
186 76  -42999.544    2.887
186 77  -39168.544   20.207
186 78  -37789.499   32.386
186 79  -31748.935  144.209
186 80  -28448.610  201.979
186 81# -19983.0    365.0  
186 82# -14624.0    470.0  
186 83#  -3279.0    448.0  
187 73# -36878.0    298.0  
187 74  -39906.994    2.909
187 75  -41218.170    2.789
187 76  -41220.833    2.789
187 77  -39718.424    6.616
187 78# -36610.0    157.0  
187 79# -33010.0    152.0  
187 80# -28145.0    239.0  
187 81# -22197.0    401.0  
187 82# -15034.0    298.0  
187 83#  -6094.0    404.0  
188 74  -38669.447    4.107
188 75  -39018.447    2.805
188 76  -41138.803    2.789
188 77  -38329.434    7.393
188 78  -37822.932    5.927
188 79# -32523.0    100.0  
188 80# -30225.0    177.0  
188 81# -22430.0    224.0  
188 82# -17642.0    196.0  
188 83#  -7291.0    299.0  
189 74  -35478.878  200.193
189 75  -37978.878    8.789
189 76  -38988.111    2.801
189 77  -38455.739   12.955
189 78  -36485.202   11.414
189 79# -33635.0    200.0  
189 80# -29685.0    283.0  
189 81# -24509.0    347.0  
189 82# -17810.0    270.0  
189 83#  -9774.0    401.0  
190 74  -34287.789  161.507
190 75  -35557.789  145.549
190 76  -38708.377    2.831
190 77  -36708.377  200.020
190 78  -37325.238    6.161
190 79  -32883.238   16.216
190 80# -31409.0    150.0  
190 81# -24409.0    427.0  
190 82  -20325.996  202.031
190 83# -10695.0    365.0  
190 84#  -4556.0    470.0  
191 75  -34350.504   10.598
191 76  -36395.720    2.832
191 77  -36709.467    2.887
191 78  -35690.821    4.708
191 79  -33860.821   50.221
191 80  -30680.821   86.152
191 81# -26188.0    218.0  
191 82# -20307.0    214.0  
191 83# -12991.0    401.0  
191 84#  -5139.0    299.0  
192 75# -31708.0    196.0  
192 76  -35882.387    3.511
192 77  -34836.227    2.888
192 78  -36295.913    3.414
192 79  -32779.572   15.986
192 80# -32068.0    723.0  
192 81# -25948.0    694.0  
192 82# -22579.0    177.0  
192 83# -13629.0    224.0  
192 84#  -7898.0    196.0  
193 75# -30301.0    196.0  
193 76  -33396.198    3.580
193 77  -34536.752    2.889
193 78  -34480.115    2.900
193 79  -33411.603    9.472
193 80  -31071.295   19.148
193 81# -27432.0    165.0  
193 82# -22281.0    186.0  
193 83# -15779.0    347.0  
193 84#  -8289.0    275.0  
194 76  -32435.665    3.525
194 77  -32532.265    2.903
194 78  -34779.168    2.949
194 79  -32287.133   11.525
194 80  -32247.133   23.083
194 81# -26965.0    172.0  
194 82# -24247.0    149.0  
194 83# -16066.0    427.0  
194 84  -10914.090  202.057
194 85#   -770.0    416.0  
195 76  -29692.812  500.008
195 77  -31692.812    2.905
195 78  -32812.907    2.950
195 79  -32586.107    3.114
195 80  -31076.107   50.097
195 81# -28274.0    102.0  
195 82# -23780.0    412.0  
195 83# -17930.0    218.0  
195 84# -11136.0    220.0  
195 85#  -3166.0    448.0  
196 76  -28296.936   40.221
196 77  -29454.447   38.524
196 78  -32663.463    2.950
196 79  -31157.705    4.062
196 80  -31843.610    4.127
196 81# -27467.0    133.0  
196 82# -25420.0    140.0  
196 83  -18062.615  692.516
196 84# -13498.0    177.0  
196 85#  -4002.0    229.0  
197 77  -28283.945   20.438
197 78  -30438.579    2.951
197 79  -31157.514    2.953
197 80  -30557.690    4.317
197 81  -28374.871   28.056
197 82# -24796.0    102.0  
197 83  -19620.059  156.805
197 84# -13445.0    193.0  
197 85#  -6251.0    350.0  
198 77# -25821.0    196.0  
198 78  -29923.828    4.208
198 79  -29598.364    2.953
198 80  -30970.754    2.967
198 81  -27510.754   80.055
198 82# -26100.0     93.0  
198 83  -19540.426  139.552
198 84# -15513.0    149.0  
198 85#  -6748.0    427.0  
198 86   -1144.600  202.315
199 78  -27408.605    4.238
199 79  -29110.921    2.957
199 80  -29563.472    2.957
199 81  -28118.802   98.315
199 82  -25235.536   65.139
199 83  -20890.643   89.184
199 84# -15281.0    412.0  
199 85#  -8726.0    223.0  
199 86#  -1575.0    226.0  
200 78  -26619.003   20.438
200 79  -27276.292   51.535
200 80  -29520.410    2.960
200 81  -27064.369    6.453
200 82  -26253.994   13.333
200 83  -20361.768   87.138
200 84# -17014.0    140.0  
200 85   -9041.211  692.515
200 86#  -4029.0    177.0  
201 78  -23744.389   52.285
201 79  -26404.389   15.288
201 80  -27679.286    2.957
201 81  -27196.534   15.292
201 82  -25293.604   31.134
201 83  -21449.833   27.375
201 84# -16572.0    102.0  
201 85  -10721.787  156.797
201 86#  -4159.0    199.0  
201 87#   3712.0    354.0  
202 79  -24416.118  166.436
202 80  -27362.272    2.953
202 81  -25997.853   15.196
202 82  -25948.247    9.865
202 83  -20792.817   50.888
202 84# -17975.0     93.0  
202 85  -10762.133  139.544
202 86#  -6314.0    149.0  
202 87#   3065.0    427.0  
203 79  -23144.598   15.309
203 80  -25283.853    3.192
203 81  -25775.709    2.973
203 82  -24800.660    6.988
203 83  -21547.715   20.119
203 84  -17314.597   64.993
203 85  -12255.554   89.180
203 86#  -6227.0    412.0  
203 87#    976.0    229.0  
204 79# -20907.0    200.0  
204 80  -24707.481    3.062
204 81  -24360.209    2.964
204 82  -25123.905    2.962
204 83  -20686.208   21.645
204 84  -18344.165   13.403
204 85  -11867.357   71.365
204 86#  -8043.0    140.0  
204 87     553.823  692.508
204 88#   6046.0    267.0  
205 80  -22303.897    4.692
205 81  -23835.278    2.981
205 82  -23784.078    2.961
205 83  -21075.707    7.583
205 84  -17544.686   29.416
205 85  -13005.253   27.321
205 86#  -7761.0    114.0  
205 87   -1241.576  148.611
205 88#   5772.0    205.0  
206 80  -20959.487   20.615
206 81  -22267.630    2.996
206 82  -23800.828    2.938
206 83  -20043.320    8.225
206 84  -18196.862    9.949
206 85  -12479.478   50.854
206 86#  -9166.0     93.0  
206 87   -1411.559  139.472
206 88#   3526.0    149.0  
207 80  -16269.474  150.114
207 81  -21044.474    5.843
207 82  -22467.291    2.938
207 83  -20068.487    3.601
207 84  -17159.857    7.005
207 85  -13250.208   19.958
207 86   -8638.698   64.981
207 87   -2929.469   78.878
207 88#   3471.0    415.0  
208 81  -16762.839    2.976
208 82  -21763.783    2.939
208 83  -18884.091    3.541
208 84  -17483.515    3.236
208 85  -12510.163   21.537
208 86   -9658.801   13.507
208 87   -2671.379   50.921
208 88#   1655.0    140.0  
209 81  -13647.999    9.729
209 82  -17628.412    3.196
209 83  -18272.527    3.015
209 84  -16379.936    3.259
209 85  -12893.475    7.839
209 86   -8964.475   29.351
209 87   -3802.961   27.083
209 88#   1811.0    125.0  
209 89    8916.635  156.797
210 81   -9258.328   11.833
210 82  -14742.272    3.048
210 83  -14805.781    3.013
210 84  -15968.457    2.939
210 85  -11987.044    8.286
210 86   -9613.499   10.181
210 87   -3351.291   20.315
210 88#    416.0     93.0  
210 89    8620.552  148.163
211 82  -10496.388    2.923
211 83  -11869.043    5.845
211 84  -12447.897    2.982
211 85  -11661.206    3.830
211 86   -8769.722    7.152
211 87   -4164.913   19.516
211 88     831.959   65.181
211 89    7120.242   93.390
212 82   -7557.086    2.780
212 83   -8130.789    2.976
212 84  -10384.742    2.939
212 85   -8630.246    4.086
212 86   -8673.595    4.165
212 87   -3556.197   21.465
212 88    -202.037   13.623
212 89    7274.732   71.365
212 90#  12032.0    140.0  
213 82#  -3171.0    100.0  
213 83   -5240.605    7.567
213 84   -6666.922    4.049
213 85   -6593.542    5.587
213 86   -5711.941    7.152
213 87   -3563.478    8.028
213 88     319.924   29.567
213 89    6125.150   56.864
213 90#  12074.0    134.0  
214 82    -188.961    2.565
214 83   -1212.227   11.431
214 84   -4483.897    3.048
214 85   -3393.614    5.069
214 86   -4335.144    9.577
214 87    -974.609    9.191
214 88      84.544   10.800
214 89    6424.500   53.969
214 90#  10666.0     94.0  
215 83    1706.999   96.111
215 84    -545.110    2.817
215 85   -1265.750    7.126
215 86   -1183.970    8.135
215 87     304.040    7.560
215 88    2518.852    8.008
215 89    6008.398   53.674
215 90   10922.460   65.491
215 91   17712.353  105.932
216 83#   5774.0    100.0  
216 84    1774.341    2.760
216 85    2243.452    4.199
216 86     240.248    7.781
216 87    2969.848   12.891
216 88    3277.009    9.154
216 89    8111.957   22.961
216 90   10293.543   15.875
216 91   17713.343   87.138
217 84#   5914.0    100.0  
217 85    4386.161    7.559
217 86    3646.609    4.970
217 87    4300.560    7.062
217 88    5873.660    9.574
217 89    8692.961   12.971
217 90   12168.825   30.939
217 91   17037.715   75.720
218 84    8350.627    2.563
218 85    8086.684   11.818
218 86    5203.611    3.556
218 87    7045.557    5.463
218 88    6635.686   11.499
218 89   10827.702   50.838
218 90   12358.468   14.130
218 91   18643.511   73.571
218 92#  21878.0     97.0  
219 85   10522.777   81.507
219 86    8825.925    2.802
219 87    8607.710    7.355
219 88    9371.321   11.634
219 89   11555.451   50.568
219 90   14457.863   50.637
219 91   18517.909   73.355
219 92#  23247.0    210.0  
220 85#  14252.0    100.0  
220 86   10603.925    2.759
220 87   11469.096    4.562
220 88   10259.876   10.327
220 89   13741.859   51.635
220 90   14654.949   22.333
220 91   20365.968   55.020
220 92#  23018.0    300.0  
221 86#  14486.0    100.0  
221 87   13269.226    7.549
221 88   12957.304    7.115
221 89   14508.391   50.496
221 90   16926.290   10.438
221 91   20365.572   51.655
221 92#  24544.0    202.0  
222 86   16365.850    2.545
222 87   16340.802   20.854
222 88   14309.044    4.973
222 89   16599.074   21.087
222 90   17189.682   12.912
222 91#  22050.0    100.0  
222 92#  24283.0    101.0  
223 87   18379.215    2.677
223 88   17230.147    2.794
223 89   17815.897    7.418
223 90   19362.865   12.330
223 91   22322.912   71.114
223 92   25823.674   71.163
224 87   21636.682   47.182
224 88   18817.703    2.757
224 89   20220.911    4.610
224 90   19988.939   12.358
224 91   23861.570   51.828
224 92   25699.684   25.457
225 87   23851.463   10.443
225 88   21985.901    3.213
225 89   21629.288    7.536
225 90   22303.792    7.430
225 91   24325.802   71.062
225 92   27371.010   51.078
225 93   31576.983   71.890
226 87   27295.013   79.659
226 88   23661.387    2.533
226 89   24301.822    3.532
226 90   23185.411    4.990
226 91   26010.793   23.416
226 92   27321.169   19.997
226 93#  32672.0    112.0  
227 87   29657.601   88.965
227 88   27171.370    2.547
227 89   25846.318    2.673
227 90   25801.492    2.791
227 91   26820.761    7.721
227 92   28999.091   18.744
227 93   32564.234   72.556
228 87   33273.090  422.862
228 88   28935.224    2.507
228 89   28889.324    2.661
228 90   26762.735    2.753
228 91   28874.112    5.388
228 92   29217.348   16.011
228 93#  33701.0    196.0  
229 88   32433.671   62.123
229 89   30673.671   47.532
229 90   29578.671    3.054
229 91   29894.799    9.044
229 92   31203.932    8.033
229 93   33763.413   86.890
230 88   34543.302   32.701
230 89   33556.349  100.021
230 90   30856.349    2.050
230 91   32166.151    3.477
230 92   31603.052    5.040
230 93   35213.804   55.212
230 94   36921.008   25.158
231 89   35909.637  100.021
231 90   33809.637    2.055
231 91   33420.127    2.610
231 92   33777.703   50.078
231 93   35614.072   50.593
231 94#  38424.0    102.0  
232 89   39142.881  100.021
232 90   35442.881    2.063
232 91   35938.295    7.923
232 92   34601.191    2.757
232 93#  37299.0    100.0  
232 94   38358.180   18.971
233 90   38727.853    2.076
233 91   37482.615    2.290
233 92   36912.136    2.959
233 93#  38146.0    159.0  
233 94   40045.143   50.641
233 95#  43288.0    218.0  
234 90   40609.815    3.566
234 91   40336.727    4.772
234 92   38139.731    2.008
234 93   39949.578    8.559
234 94   40337.939    7.161
234 95#  44511.0    208.0  
235 90   44250.953   50.041
235 91   42323.215   50.040
235 92   40913.215    2.002
235 93   41036.931    2.177
235 94#  42204.0     74.0  
235 95#  44739.0    206.0  
235 96#  48049.0    224.0  
236 91   45339.781  200.010
236 92   42439.781    1.981
236 93   43379.757   50.464
236 94   42893.171    2.758
236 95#  46173.0    100.0  
236 96#  47883.0    201.0  
237 91   47635.218  100.021
237 92   45385.218    2.032
237 93   44866.654    1.993
237 94   45086.966    2.400
237 95#  46817.0    188.0  
237 96#  49270.0    206.0  
237 97#  53213.0    296.0  
238 91   50764.541   60.034
238 92   47304.541    2.024
238 93   47449.886    2.003
238 94   46157.839    2.014
238 95   48416.189   50.727
238 96   49384.251   36.666
238 97#  54336.0    289.0  
239 92   50569.608    2.035
239 93   49304.425    2.163
239 94   48582.630    2.003
239 95   49385.542    2.825
239 96#  51086.0    100.0  
239 97#  54364.0    287.0  
239 98#  58284.0    231.0  
240 92   52708.369    5.207
240 93   52320.070   15.159
240 94   50120.471    1.979
240 95   51499.424   13.930
240 96   51715.311    2.825
240 97#  55655.0    150.0  
240 98#  58027.0    201.0  
241 93   54255.190   70.738
241 94   52950.190    1.981
241 95   52929.377    1.990
241 96   53696.877    2.324
241 97#  56097.0    200.0  
241 98#  59354.0    255.0  
241 99#  63902.0    333.0  
242 93   57412.110  200.010
242 94   54712.110    2.002
242 95   55463.128    1.993
242 96   54798.307    2.015
242 97#  57798.0    200.0  
242 98   59325.540   36.891
242 99#  64943.0    327.0  
243 93   59918.704   11.228
243 94   57748.942    3.270
243 95   57167.431    2.207
243 96   57176.341    2.239
243 97   58684.728    4.952
243 98#  60901.0    123.0  
243 99#  64861.0    288.0  
243100#  69398.0    237.0  
244 94   59798.821    5.107
244 95   59875.046    2.153
244 96   58446.991    1.980
244 97   60702.635   51.904
244 98   61469.303    3.359
244 99#  66027.0    181.0  
244100#  69052.0    284.0  
245 94   63097.247   14.436
245 95   61892.531    3.300
245 96   60998.567    2.739
245 97   61808.788    2.492
245 98   63377.375    3.088
245 99#  66431.0    200.0  
245100#  70214.0    275.0  
246 94   65388.508   15.275
246 95   64987.973   18.193
246 96   62611.835    2.233
246 97   63961.835   60.042
246 98   64084.818    2.250
246 99#  67965.0    224.0  
246100   70124.274   39.594
247 95#  67227.0    100.0  
247 96   65526.726    4.450
247 97   65481.803    5.541
247 98   66127.803    8.167
247 99#  68603.0     30.0  
247100#  71517.0    132.0  
247101#  76103.0    351.0  
248 95#  70485.0    200.0  
248 96   67385.464    5.109
248 97   68102.591   20.730
248 98   67232.591    5.454
248 99   70293.242   55.743
248100   71896.465   11.812
248101#  77149.0    237.0  
249 96   70743.327    5.118
249 97   69843.386    3.140
249 98   69718.497    2.830
249 99#  71170.0     30.0  
249100#  73610.0    101.0  
249101#  77315.0    283.0  
250 96   72982.289   11.229
250 97   72944.800    4.142
250 98   71165.109    2.242
250 99#  73265.0    100.0  
250100   74066.661   11.962
250101#  78699.0    301.0  
251 96   76640.437   22.821
251 97   75220.437   10.991
251 98   74127.437    4.561
251 99   74503.621    6.127
251100   75977.814    8.409
251101#  79051.0    203.0  
251102#  82827.0    142.0  
252 97#  78527.0    200.0  
252 98   76027.244    5.109
252 99   77287.244   50.260
252100   76810.151    5.820
252101#  80695.0    196.0  
252102   82870.858   13.010
253 97#  80798.0    307.0  
253 98   79292.638    7.155
253 99   79007.456    3.140
253100   79340.308    4.952
253101#  81301.0    205.0  
253102#  84478.0    225.0  
253103#  88732.0    288.0  
254 98   81333.607   12.325
254 99   81987.664    4.661
254100   80897.211    3.026
254101#  83580.0    141.0  
254102   84717.350   17.664
254103#  89870.0    336.0  
255 98#  84781.0    200.0  
255 99   84080.948   11.093
255100   83792.948    4.771
255101   84835.382    7.074
255102   86847.342   12.422
255103#  90090.0    227.0  
255104#  94550.0    174.0  
256 99#  87149.0    100.0  
256100   85479.056    7.204
256101   87608.671   52.823
256102   87816.504    7.975
256103#  92005.0    220.0  
256104   94247.811   26.744
257 99#  89395.0    503.0  
257100   88581.349    7.293
257101   88989.967    3.296
257102   90216.913   30.875
257103#  92732.0    211.0  
257104#  96150.0    270.0  
257105# 100462.0    297.0  
258100#  90459.0    200.0  
258101   91683.772    5.018
258102#  91522.0    200.0  
258103#  94905.0    143.0  
258104#  96392.0    151.0  
258105# 101840.0    344.0  
259100#  93699.0    401.0  
259101#  93616.0    400.0  
259102#  94123.0    101.0  
259103#  95934.0     71.0  
259104#  98380.0     72.0  
259105# 102204.0    298.0  
259106# 106846.0    203.0  
260101#  96596.0    596.0  
260102#  95604.0    200.0  
260103#  98339.0    115.0  
260104#  99241.0    200.0  
260105# 103801.0    231.0  
260106  106595.576   40.541
261101#  98403.0    699.0  
261102#  98496.0    596.0  
261103#  99615.0    400.0  
261104# 101451.0    107.0  
261105# 104426.0    260.0  
261106# 108384.0    281.0  
261107# 113449.0    302.0  
262102# 100201.0    699.0  
262103# 102297.0    596.0  
262104# 102548.0    252.0  
262105# 106535.0    246.0  
262106# 108603.0    252.0  
262107# 114681.0    376.0  
263102# 103200.0    401.0  
263103# 103768.0    596.0  
263104# 104998.0    503.0  
263105# 107393.0    168.0  
263106# 110498.0    133.0  
263107# 114863.0    503.0  
264103# 106498.0    699.0  
264104# 106302.0    596.0  
264105# 109628.0    503.0  
264106# 111099.0    354.0  
264107# 116353.0    503.0  
264108  119820.487  302.727
265103# 108202.0    904.0  
265104# 108798.0    801.0  
265105# 110699.0    699.0  
265106# 113111.0    596.0  
265107# 116819.0    503.0  
265108# 121633.0    299.0  
266104# 110401.0    904.0  
266105# 112990.0    801.0  
266106# 114033.0    699.0  
266107# 118719.0    596.0  
266108# 121700.0    503.0  
266109# 128389.0    349.0  
