***************************
* A  Z          MASS       
 61 28  -64217.093    1.427
 61 29  -61979.999    1.818
 61 30  -56342.854   16.350
 61 31# -47348.0    196.0  
 61 32# -33729.0    298.0  
 61 33# -18052.0    596.0  
 62 24  -41172.029  372.598
 62 25  -48465.626  260.818
 62 26  -58898.205   14.549
 62 27  -61428.404   20.052
 62 28  -66742.995    1.441
 62 29  -62794.825    4.174
 62 30  -61167.782   10.140
 62 31  -51996.782   27.907
 62 32# -42243.0    140.0  
 62 33# -24964.0    298.0  
 63 25  -46751.677  279.448
 63 26  -55513.068  143.721
 63 27  -61837.326   20.053
 63 28  -65509.526    1.442
 63 29  -65576.471    1.442
 63 30  -62209.689    2.132
 63 31  -56689.689  100.023
 63 32# -46910.0    196.0  
 63 33# -33823.0    503.0  
 64 25  -43100.221  326.023
 64 26  -54901.503  223.559
 64 27  -59789.618   20.053
 64 28  -67096.209    1.454
 64 29  -65421.112    1.446
 64 30  -65999.957    1.678
 64 31  -58835.158    3.952
 64 32  -54425.158  250.031
 64 33# -39654.0    503.0  
 65 25  -40892.580  558.896
 65 26  -51288.052  279.448
 65 27  -59164.456   13.419
 65 28  -65122.896    1.468
 65 29  -67259.602    1.742
 65 30  -65908.240    1.722
 65 31  -62653.338    1.821
 65 32  -56410.988  100.014
 65 33# -47056.0    391.0  
 65 34# -32919.0    596.0  
 66 26  -50319.298  326.023
 66 27  -56052.259  272.794
 66 28  -66028.907   16.038
 66 29  -66254.208    1.745
 66 30  -68896.615    1.543
 66 31  -63721.615    3.373
 66 32  -61621.615   30.189
 66 33# -51822.0    202.0  
 66 34# -41722.0    298.0  
 67 26  -46574.693  465.747
 67 27  -55321.420  279.448
 67 28  -63742.696   19.065
 67 29  -67300.447    8.151
 67 30  -67877.447    1.559
 67 31  -66876.997    1.754
 67 32  -62654.182    4.911
 67 33  -56644.182  100.121
 67 34# -46491.0    196.0  
 68 26# -44237.0    699.0  
 68 27  -51828.318  326.023
 68 28  -63486.210   16.502
 68 29  -65542.175   45.623
 68 30  -70004.319    1.629
 68 31  -67083.219    2.023
 68 32  -66977.300    6.384
 68 33  -58877.300  100.204
 68 34# -54148.0    298.0  
 68 35# -38892.0    537.0  
 69 27  -51045.864  372.598
 69 28  -60377.955  137.912
 69 29  -65740.151    8.086
 69 30  -68415.215    1.697
 69 31  -69321.153    3.032
 69 32  -67093.868    3.081
 69 33  -63080.877   31.301
 69 34  -56297.793   34.476
 69 35# -46679.0    423.0  
 70 27# -46752.0    699.0  
 70 28  -59485.198  326.023
 70 29  -62960.568   14.529
 70 30  -69559.659    3.329
 70 31  -68904.936    3.083
 70 32  -70560.666    1.744
 70 33  -64340.666   50.030
 70 34# -61941.0    206.0  
 70 35# -51591.0    364.0  
 70 36# -40976.0    401.0  
 71 27# -44963.0    801.0  
 71 28  -55889.632  372.598
 71 29  -62764.459   35.158
 71 30  -67321.908   10.539
 71 31  -70134.641    1.852
 71 32  -69905.243    1.745
 71 33  -67892.533    4.364
 71 34# -63093.0    200.0  
 71 35# -56593.0    300.0  
 71 36# -46100.0    298.0  
 72 28  -54678.690  465.747
 72 29# -59904.0    196.0  
 72 30  -68126.236    6.120
 72 31  -68584.318    2.105
 72 32  -72585.414    1.463
 72 33  -68229.317    4.337
 72 34  -67894.290   12.094
 72 35  -59179.839  255.960
 72 36  -54139.839  268.170
 72 37# -38117.0    503.0  
 73 28# -50329.0    596.0  
 73 29# -59159.0    298.0  
 73 30  -65409.852   40.027
 73 31  -69703.700    6.334
 73 32  -71296.993    1.462
 73 33  -70956.134    3.860
 73 34  -68216.134   10.719
 73 35  -63559.711  127.318
 73 36  -56885.149  138.401
 73 37# -46261.0    482.0  
 74 28# -48726.0    699.0  
 74 29# -55824.0    401.0  
 74 30  -65709.055   47.379
 74 31  -68053.868   70.726
 74 32  -73421.868    1.462
 74 33  -70859.456    2.229
 74 34  -72212.465    1.507
 74 35  -65305.819   15.075
 74 36  -62168.072   59.424
 74 37  -51723.561  432.208
 75 28# -44162.0    801.0  
 75 29# -54576.0    503.0  
 75 30  -62468.278   70.918
 75 31  -68464.056    6.831
 75 32  -71855.765    1.464
 75 33  -73032.316    1.650
 75 34  -72168.676    1.505
 75 35  -69138.676   13.691
 75 36  -64240.115   15.479
 75 37  -57219.871    7.770
 75 38# -46649.0    298.0  
 76 28# -42178.0    904.0  
 76 29# -50738.0    596.0  
 76 30  -62042.746  120.425
 76 31  -66202.746   90.012
 76 32  -73212.746    1.474
 76 33  -72289.434    1.651
 76 34  -75251.420    1.481
 76 35  -70288.545    9.439
 76 36  -68977.218   10.622
 76 37  -60476.753    7.724
 76 38# -54390.0    298.0  
 77 28# -37204.0    997.0  
 77 29# -49108.0    699.0  
 77 30  -58603.996  134.177
 77 31  -65873.996   60.028
 77 32  -71213.996    1.834
 77 33  -73916.008    2.189
 77 34  -74598.906    1.482
 77 35  -73233.780    3.162
 77 36  -70170.066    8.771
 77 37  -64825.646    7.571
 77 38  -57973.288  150.439
 77 39# -46929.0    298.0  
 78 28# -34745.0   1099.0  
 78 29# -44861.0    801.0  
 78 30  -57221.921  161.291
 78 31  -63661.921   80.092
 78 32  -71861.921    3.831
 78 33  -72815.981    9.913
 78 34  -77025.529    1.489
 78 35  -73451.752    3.873
 78 36  -74158.218    6.603
 78 37  -66933.794    7.689
 78 38  -63171.631    7.859
 78 39# -52629.0    401.0  
 79 29# -42709.0    904.0  
 79 30# -53398.0    268.0  
 79 31  -62487.769  120.129
 79 32  -69487.769   89.616
 79 33  -73635.769    5.574
 79 34  -75917.106    1.645
 79 35  -76067.762    1.908
 79 36  -74441.984    3.841
 79 37  -70792.710    6.574
 79 38  -65474.550    8.747
 79 39  -58354.550  450.085
 80 30  -51777.103  171.277
 80 31  -59067.503  122.213
 80 32  -69447.503   23.151
 80 33  -72117.733   21.103
 80 34  -77759.185    1.881
 80 35  -75888.630    1.900
 80 36  -77892.878    3.842
 80 37  -72169.968    7.255
 80 38  -70302.006    7.859
 80 39# -61162.0    400.0  
 80 40# -55340.0    298.0  
 81 30# -46128.0    401.0  
 81 31  -57982.477  192.174
 81 32  -66302.477  120.128
 81 33  -72532.477    5.548
 81 34  -76388.862    1.974
 81 35  -77974.012    2.821
 81 36  -77693.294    2.854
 81 37  -75455.313    6.247
 81 38  -71523.653    7.859
 81 39  -66013.287   62.342
 81 40  -58853.287  296.625
 82 30# -42066.0    401.0  
 82 31# -52946.0    298.0  
 82 32  -65538.592  154.902
 82 33  -70238.592   66.291
 82 34  -77593.175    2.076
 82 35  -77495.591    2.817
 82 36  -80588.216    2.578
 82 37  -76186.834    6.952
 82 38  -76006.532    5.875
 82 39  -68190.542  102.596
 82 40  -64190.542  510.417
 82 41# -52974.0    298.0  
 83 31# -49490.0    503.0  
 83 32# -61004.0    298.0  
 83 33  -69879.824  220.030
 83 34  -75339.824    3.648
 83 35  -79008.305    4.274
 83 36  -79980.627    3.272
 83 37  -79071.005    6.030
 83 38  -76795.298    8.541
 83 39  -72329.311   39.284
 83 40  -66461.211   93.639
 83 41  -58961.211  314.274
 84 31# -44395.0    596.0  
 84 32# -58395.0    401.0  
 84 33# -66080.0    298.0  
 84 34  -75949.453   14.583
 84 35  -77775.262   25.420
 84 36  -82429.676    3.039
 84 37  -79748.423    3.143
 84 38  -80642.712    3.446
 84 39  -74232.712  170.035
 84 40# -71492.0    298.0  
 84 41# -61879.0    401.0  
 84 42# -55806.0    503.0  
 85 32# -53384.0    503.0  
 85 33# -63519.0    401.0  
 85 34  -72425.817   29.994
 85 35  -78607.817   19.252
 85 36  -81477.817    3.102
 85 37  -82164.811    2.496
 85 38  -81099.989    3.573
 85 39  -77845.389   25.452
 85 40  -73152.389  102.219
 85 41  -67152.389  224.608
 85 42# -59066.0    401.0  
 86 32# -50049.0    596.0  
 86 33# -59401.0    503.0  
 86 34  -70536.503   16.277
 86 35  -75635.503   11.997
 86 36  -83261.503    4.789
 86 37  -82744.668    2.458
 86 38  -84519.388    2.293
 86 39  -79279.388   14.327
 86 40  -77806.393   30.081
 86 41  -69828.393   85.469
 86 42# -65018.0    298.0  
